File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\test\parse.js,function(st),5,5,5,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\test\parse.js,function(st),4,4,8,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\test\parse.js,function(st),31,28,18,0,3,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\test\parse.js,function(st),6,6,18,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\test\parse.js,function(st),4,4,10,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\test\parse.js,function(st),4,4,6,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\test\parse.js,function(st),5,5,9,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\test\parse.js,function(st),11,9,8,1,2,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\test\parse.js,function(st),10,10,13,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\test\parse.js,function(st),3,3,5,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\test\parse.js,function(st),3,3,5,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\test\parse.js,function(st),3,3,5,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\test\parse.js,function(st),3,3,5,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\test\parse.js,function(st),3,3,5,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\test\parse.js,function(st),5,5,14,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\test\parse.js,function(st),3,3,6,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\test\parse.js,function(st),17,14,11,0,3,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\test\parse.js,function(st),17,14,12,0,3,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\test\parse.js,function(st),17,14,13,0,3,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\test\parse.js,function(st),7,7,8,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\test\parse.js,function(st),16,13,15,0,3,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\test\parse.js,function(st),9,8,10,0,1,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\test\parse.js,function(st),4,4,6,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\test\parse.js,function(st),4,4,6,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\test\parse.js,function(st),11,9,12,0,2,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\test\parse.js,function(st),11,9,13,0,2,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\test\parse.js,function(st),5,5,8,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\test\parse.js,function(st),5,5,8,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\test\parse.js,function(st),26,22,16,0,4,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\test\parse.js,function(st),13,13,16,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\test\parse.js,function(st),14,14,14,2,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\test\parse.js,function(st),5,5,7,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\bytes\index.js,function(v),1,1,1,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\bytes\index.js,"bytes(value, options)",10,8,6,5,2,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\bytes\index.js,"format(value, options)",34,28,24,6,6,0,0,0,
