File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\content-type\HISTORY.md,15,9,0,0,6,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\content-type\README.md,93,63,3,0,30,10,0,10,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\content-type\package.json,105,104,17,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\cookie\index.js,196,101,74,28,38,0,57,207,6,18
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\cookie\HISTORY.md,119,79,0,0,40,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\cookie\README.md,221,149,27,2,65,20,7,58,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\cookie\package.json,108,107,18,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\cookie-signature\index.js,52,20,14,7,9,0,23,67,3,5
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\cookie-signature\History.md,39,24,0,0,15,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\cookie-signature\Readme.md,42,30,7,0,12,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\cookie-signature\package.json,93,92,16,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\debug\karma.conf.js,71,7,0,0,6,1,58,181,2,11
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\debug\node.js,2,1,1,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\debug\CHANGELOG.md,358,264,0,0,94,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\debug\README.md,313,219,33,3,86,16,8,71,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\debug\component.json,20,19,2,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\debug\package.json,132,131,20,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\debug\src\browser.js,186,86,54,17,29,0,71,314,5,18
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\debug\src\debug.js,203,99,82,22,39,2,65,254,6,26
